datetime,title,link,house_type,price,acreage,address,district,city,bedrooms,wc,house_direction,balcony_direction,description,price 2,price 3,wc 2,bedrooms 2,floors,floors 2,property age,latitude,longitude,hospital,supermarket,school,park,hospital_distance,supermarket_distance,school_distance,park_distance
2023-01-04 23:09:24,"GÒ VẤP, BÁN NHÀ NGUYỄN VĂN NGHI, DT 4x12m HẺM 3M, CHỈ 6.8 TỶ",https://batdongsan.vn/go-vap-ban-nha-nguyen-van-nghi-dt-4x12m-hem-3m-chi-68-ty-r258290,Nhà riêng,6.8,38.0,"Nguyễn Văn Nghi, phường 07, quận Gò Vấp, tp.HCM, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,3.0,4.0,,,"LH Tâm BĐS Tel / Zalo 0909 269 706
23145006NM Mô tả
- Vị trí nhà ngay Công an phường 07, cách Chợ Gò Vấp chỉ 100m, đường vào nhà rộng 3-4m xe ô tô nhỏ vào được, khu vực dân trí cao, hẻm sạch đẹp, giao thông thuận tiện di chuyển ra Phạm Văn Đồng, và Sân bay...
- Khuôn viên đất 4x12m sổ Công nhận đủ 38m2.
- Kết cấu nhà 1 trệt 3 lầu, sân thượng, đúc bê tông cốt thép, Công năng Phòng khách, bếp, 3 phòng ngũ lớn, 4 tolet..., tổng diện tích sàn XD 164m2.
- Nội thất mới hoàn toàn, mua về ở ngay không cần sắm sửa thêm.
- Pháp lý chuẩn, rỏ ràng, Tâm làm việc chính chủ.
- Giá chỉ 6 tỷ 800 triệu. Thương lượng.
- Thông tin thêm, vui lòng liên hệ trực tiếp phone or zalo Mr.Tâm.",6.8,6.8,,,4.0,,158,10.8440568,106.6403038,False,False,True,False,2434.584050781077,0.0,114.37533151071365,0.0
2023-01-04 23:42:24,BÌNH TÂN-NHÀ HẺM 6M-SÁT MẶT TIỀN-DTCN 100M2-NHÀ ĐỦ LỘ GIỚI-KHÔNG QH-CHỈ 4..TỶ TL,https://batdongsan.vn/binh-tan-nha-hem-6m-sat-mat-tien-dtcn-100m2-nha-du-lo-gioi-khong-qh-chi-4ty-tl-r258289,Nhà riêng,4.5,100.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,2.0,2.0,,,"Mô tả: 
???? Kết cấu 1 trệt 1 lầu, 2 phòng ngủ, 2 toilet, đầy đủ công năng, xe tải để trước nhà.
???? Sát mặt tiền Chiến Lược, Thông Mã Lò, BV Bình Tân, HL2, hẻm an ninh, dân trí.
???? Vị trí đỉnh, sát vách Tân Phú, Ngay BV Bình Tân xung quanh nhiều trường học, chợ,…, khu vực đông đúc, sầm uất ngày đêm, tiện ích xung quanh không thiếu thứ gì.
???? Nhà chính chủ xưa nay chưa qua mua bán.
Liên hệ Thúy: 093 795 4068 xem nhà, xem sổ ngay.",,,2.0,2.0,2.0,,158,10.8030656,106.65227606400094,False,False,True,False,1263.5382878094804,0.0,396.3910543678316,0.0
2023-01-05 04:09:30,"Giá quá tốt cho 1 nhà lầu hxh đường số 8,Bình Hưng Hòa, Bình Tân",https://batdongsan.vn/gia-qua-tot-cho-1-nha-lau-hxh-duong-so-8binh-hung-hoa-binh-tan-r258288,Nhà mặt phố,4.1,54.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,3.0,2.0,Đông-Nam,,"Nhà lầu hxh đường số 8, Bình Hưng Hòa, Bình Tân
- Diện tích 5x11 SHR
- Cấu trúc 1 trệt 1 lầu,1 lửng 3 PN 2WC, hoàn công đủ
- Hẻm xe hơi trước nhà 5m thông qua Tân Kỳ Tân Quý và đường số 8,
- Hẻm sau ba gác
- Giáp Tân Phú, ví trí đẹp có thể kinh doanh, xung quanh đầy đủ tiện ích
- Nhà đang cho thuê 8tr/tháng
Giá hơn 4 tỷ 1 tí là chốt, xem nhà thích ngay",4.1,4.1,2.0,3.0,2.0,,158,10.8030656,106.65227606400094,False,False,True,False,1263.5382878094804,0.0,396.3910543678316,0.0
2023-01-05 05:09:13,"Bán nhà lầu hxh đường số 8 ,Bình Hưng Hòa, Bình Tân, 60m2, 3 ngủ, 2 wc",https://batdongsan.vn/ban-nha-lau-hxh-duong-so-8-binh-hung-hoa-binh-tan-60m2-3-ngu-2-wc-r258287,Nhà mặt phố,4.5,60.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,3.0,2.0,,,"Nhà lầu hxh đường số 8, Bình Hưng Hòa, Bình Tân
- Diện tích 4x15 SHR
- Cấu trúc 1 trệt 2 lầu 3 PN 2WC, hoàn công đủ
- Hẻm xe hơi trước nhà 5m thông
- 3 bước qua Tân Phú, cách aeon chỉ 1,5km
Giá bán 4 tỷ 500 triệu",4.5,4.5,2.0,3.0,3.0,,158,10.8030656,106.65227606400094,False,False,True,False,1263.5382878094804,0.0,396.3910543678316,0.0
2023-01-05 05:16:58,NHỈNH 2 TỶ CÓ NGAY SIÊU PHẨM 3 TẦNG ĐƯỜNG QUANG TRUNG - P8- GÒ VẤP,https://batdongsan.vn/nhinh-2-ty-co-ngay-sieu-pham-3-tang-duong-quang-trung-p8-go-vap-r258286,Nhà riêng,2.5,21.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,2.0,2.0,,,"Nhà đẹp Quang Trung full nội thất 3 tầng, dưới 3 tỷ 

- Kết cấu 1 trệt  1 lửng 1 lầu, sân thượng 
- Diện tích 3x7m, sổ vuông vức
- Hẻm thông thoáng, sạch sẽ
- Vị trí đẹp,  không ngập nước, tiện ích xung quanh đầy đủ
- Sổ hồng mua bán sang tên trong ngày, bao pháp lý, giấy tờ sang tên.
- Giá 2 tỷ 5 

✅ Alo ngay cho em Liêng để xem nhà gấp",2.0,2.5,,,3.0,3.0,158,10.8440568,106.6403038,False,False,True,False,2434.584050781077,0.0,114.37533151071365,0.0
2023-01-05 05:40:50,"Bán nhà lầu hxh đường số 8 ,Bình Hưng Hòa, Bình Tân, 52m2, 2 ngủ, 2 wc",https://batdongsan.vn/ban-nha-lau-hxh-duong-so-8-binh-hung-hoa-binh-tan-52m2-2-ngu-2-wc-r258285,Nhà mặt phố,3.9,52.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,2.0,2.0,,,"Nhà lầu hxh đường số 8, Bình Hưng Hòa, Bình Tân
- Diện tích 4x13 SHR
- Cấu trúc 1 trệt 1 lầu 2PN 2WC, hoàn công đủ
- Hẻm xe hơi trước nhà 4m thông
- Giáp Tân Phú, xung quanh đầy đủ tiện ích
Giá bán 3 tỷ 900 triệu",3.9,3.9,2.0,2.0,2.0,,158,10.8030656,106.65227606400094,False,False,True,False,1263.5382878094804,0.0,396.3910543678316,0.0
2023-01-05 06:26:36,"Sập Hầm, Bán Gấp LÔ GÓC Nhà, Thi Sách, TT Hải Châu, Đà Nẵng, 84m2, Chỉ 5tỷ3.",https://batdongsan.vn/sap-ham-ban-gap-lo-goc-nha-thi-sach-tt-hai-chau-da-nang-84m2-chi-5ty3-r258282,Nhà riêng,5.3,84.0,"Hải Châu, Đà Nẵng",Hải Châu,Đà Nẵng,3.0,,,,"Sập Hầm, Bán Gấp LÔ GÓC Nhà, Thi Sách, TT Hải Châu, Đà Nẵng, 84m2, Chỉ 5tỷ3.
Mô Tả: 
+ Vị trí: trung tâm Hải Châu,  Nhà đẹp, siêu hiếm, nối liền các tuyến đường huyết mạch của Thành Phố chỉ 3 Bước ra SÂN BAY, Khu Cực Đỉnh Nhà 3 tầng, căn góc kinh doanh đắc địa, kiệt ô tô tránh, gần sân bay di chuyển tiện lợi. chủ nhà xây biệt thự ven biển muốn bán lại, gia tốt nhất tại khu vực. Gia thế chủ rất lớn nhà có lộc lá vợ chồng, con cái phát đạt định cư nước ngoài.
THÔNG SỐ NHÀ HIỆN TẠI;
T1: gara ô tô, phòng khách, bếp, wc.
T2: 2 phòng ngủ khép kín có ban công thoáng.
T3: 1 phòng ngủ, 1 phòng thờ.
+ Xung quanh gần chợ, trường học, tiện ích ngập tràn, tha hồ cho anh chị mua sắm chọn lựa. 
+ Pháp lý chuẩn 100%, sẵng sàng giao dịch. 
+Khách làm việc trực tiếp với chủ
✨ Liên hệ: A Thắng BĐS Đà Nẵng , 0974444479 ,(Xem nhà và Tư vấn miễn phí )",5.3,5.3,,2.0,3.0,,158,16.059935099999997,108.2202354299364,False,False,False,False,0.0,0.0,0.0,0.0
2023-01-05 08:30:54,Mới ở ngay lô góc ba gác tránh gần Quang Trung 4 NG dt 37m2*4T chỉ 2.89 tỷ 0343040888,https://batdongsan.vn/moi-o-ngay-lo-goc-ba-gac-tranh-gan-quang-trung-4-ng-dt-37m24t-chi-289-ty-0343040888-r258280,Nhà riêng,89.0343040888,,"Hà Đông, Hà Nội",Hà Đông,Hà Nội,4.0,,,,"""- Toạ ngay 1041 Phố Quang Trung Quận Hà Đông tiện ích không thiếu gì
- Lô góc phòng nào cũng có anh sáng thoáng mát với 4 phòng ngủ khép kín
- Nhà 4 tầng mới đẹp kiên cố, hiện đại sang trọng, vài bước ra Quang Trung 
- Vị trí gần trường học chợ, siêu thị, bể bơi, bãi ô tô, ngập tràn tiện ích
- Quang Trung là con phố lâu đời và là trục đường thông các ngả như Lê Trọng Tấn, Nguyễn Trãi, Phùng Hưng, Trần Phú, Lê Văn Lương, Lê Lợi, Bà Triệu, Ngô Thị Nhậm, Ngô Quyền ...
-  Sổ đỏ vuông đẹp, nở hậu, chính chủ công chứng trong ngày
- Gọi ngay cho tôi Mr Hải 0343040888
- Lưu ý không tiếp môi giới
- Cam kết thông tin chính xác 100% 
Nguồn hàng phong phú sẵn sàng đáp ứng mọi yêu cầu
#nhahanoi, #nhapho, #nhaphohanoi, #datnenhanoi, #nhadathanoi, #nhadatthanhxuan, #nhathanhxuan, #nhatruongchinh, #nhadongda, #nhabadinh, #nhaphobadinh, #nhaphohadong, #bannhahanoi, #bannhahadong, #nhahadong, #dathadong, #bannhahadong, #datnenhadong, #nhadongda, #bannhabadinh, #bannhacaugiay, #bannhthanhxuan, #nhathanhxuan, #nhaphohadong, #nhahoangmai, #nhatayho, #bannhatayho, #bannhabadinh, #bannhadongda, #bannhavanquan, #bannhamolao, #bannhaquangtrung, #bannhavanphuc, #bannhatranphu, #bannhalakhe, #bannhanguyentrai, #bannhayetkieu, #bannhavanphu, #bannhavanquan, #bannhahacau, #bannhaduongnoi, #bannhaphuluong, #bannhaphula, #bannhavanmo, #bannhhacau, #bannhavankhe, #kienhung, #vanKhe, #yennghia, #phulam, #biengiang, #dongmai""",89.0343040888,,,4.0,4.0,,158,20.9702189,105.7749566,True,True,True,True,148.578595588647,1124.224010804843,362.8179356785058,1876.0890545953205
2023-01-05 08:40:53,"Bán nhà Thanh Trì mặt phố kinh doanh, ô tô tải tránh trước cửa, 4 tầng dân xây 0972448366",https://batdongsan.vn/ban-nha-thanh-tri-mat-pho-kinh-doanh-o-to-tai-tranh-truoc-cua-4-tang-dan-xay-0972448366-r258278,Nhà riêng,3.95,45.0,"Thanh Trì, Hà Nội",Thanh Trì,Hà Nội,4.0,3.0,,,"MẶT PHỐ KINH DOANH - Ô TÔ TẢI TRÁNH - 4 TẦNG CHỦ TỰ XÂY TÂM HUYẾT - KHÁCH THÍCH LÀ CHỐT
 + Vị trí mặt phố trục chính, kinh doanh đa dạng mọi loại hình đều phù hợp. Hiện chủ nhà cao tuổi đang kinh doanh tạp hoá.
+ Nhà 4 tầng chủ tự xây rất tâm huyết, khách có nhu cầu lên thêm tầng vô tư. 
Thiết kế: 
- Tầng 1 phòng khách, bếp, vệ sinh. 
- Tầng 2 1 phòng ngủ rộng, vệ sinh. 
- Tầng 3 gồm 2 phòng ngủ, vệ sinh. 
- Tầng 4 phòng thờ, sân phơi. 
+ Sổ đỏ vuông đẹp nằm két sẵn sàng sang tên chủ mới.
  Liên hệ (24/7): 0972448366 - Văn Hữu ( Nhà Đẹp Thanh Trì, Hoàng Mai )",,,,1.0,4.0,4.0,158,20.9414616,105.83603265035416,False,False,True,False,1340.473001580325,1293.4350996341554,1091.9412346351862,3638.89871582296
2023-01-05 08:53:30,BÁN NHÀ HXH LÂM VĂN BỀN - 4 TẦNG 64M2 - NHÀ MỚI Ở NGAY - 7.2 TỶ,https://batdongsan.vn/ban-nha-hxh-lam-van-ben-4-tang-64m2-nha-moi-o-ngay-72-ty-r258276,Nhà riêng,7.2,64.0,"Quận 7, TP Hồ Chí Minh",Quận 7,TP Hồ Chí Minh,4.0,4.0,,,"BÁN NHÀ HXH LÂM VĂN BỀN - 4 TẦNG 64M2 - NHÀ MỚI Ở NGAY - 7.2 TỶ
- Nhà đang ở còn mới, chủ xây tâm huyết cần nhượng lại cho chủ mới
- Quy mô nhà 4 tầng, 4PN 4WC. HXH, xe đỗ cửa. Hẻm dân trí, an ninh, tiện nghi, sạch sẽ, thoáng mát, gần chợ, trường học, bệnh viện.
- Nhà mới đẹp 100%, zin từng viên gạch đến cây thép và màu sơn của ngôi nhà.
- Nhà thông ra Nguyễn Thị Thập, Trần Xuân Soạn, Mai Văn Vĩnh. Gần chợ Tân Mỹ, Lotte, Him Lam...
- Vị trí ngay trường THCS Nguyễn Hữu Thọ, gần KCX Tân Thuận, cầu Kênh Tẻ, cầu Nguyễn Văn Cừ, cầu Tân Thuận, cầu Phú Mỹ, Bệnh viện Q7, Big C, Nhà thi đấu đa năng, Phú Mỹ Hưng...
LH Tiến Anh 0888394178 để biết thêm thông tin chi tiết và xem nhà",7.2,7.2,4.0,4.0,4.0,4.0,158,10.7377548,106.72971280655216,True,True,True,True,619.1501003171878,2587.1187918942537,558.1661361760962,667.0637185055577
